==Info==
Type  	MyTrace           	
Name1 	Frequency         	
Name2 	Power             	
Unit1 	Hz                	
Unit2 	$\mathrm{V}^2/\mathrm{Hz}$ 	

==AcquiringInstrument==
Name 	RSA5103 	

==AcquisitionTime==
Year        	2019 	
Month       	11   	
Day         	8    	
Hour        	12   	
Minute      	10   	
Second      	29   	
Millisecond 	53   	

==RSA5103==
idn           	TEKTRONIX,RSA5103A,B010116, FV:3.5.0134  	
rbw           	1                	% Nominal resolution bandwidth (Hz)
rbw_act       	3029.1172        	% Actual resolution bandwidth (Hz)
auto_rbw      	0                	
span          	20000000         	% (Hz)
start_freq    	0                	% (Hz)
stop_freq     	20000000         	% (Hz)
cent_freq     	10000000         	% (Hz)
init_cont     	0                	% Continuous triggering on/off
point_no      	10401            	
ref_level     	-18              	% (dB)
disp_y_scale  	10               	% (dBm/div)
disp_y_offset 	-30              	% (dBm)
disp_trace1   	1                	% On/off
det_trace1    	average          	
func_trace1   	normal           	
average_no1   	1                	
cnt_trace1    	0                	% Count completed averages
disp_trace2   	1                	% On/off
det_trace2    	average          	
func_trace2   	average          	
average_no2   	100              	
cnt_trace2    	1                	% Count completed averages
disp_trace3   	0                	% On/off
det_trace3    	average          	
func_trace3   	average          	
average_no3   	10               	
cnt_trace3    	1                	% Count completed averages
acq_trace     	2                	% The number of last read trace

==Data==
0	3.78733355452916e-14
1923.07692307692	3.5261888754092e-14
3846.15384615385	2.94920329448449e-14
5769.23076923077	1.76652347773795e-14
7692.30769230769	1.26448956905894e-14
9615.38461538462	1.1759257805737e-14
11538.4615384615	1.35743226761929e-14
13461.5384615385	1.43615613771908e-14
15384.6153846154	1.31839559806129e-14
17307.6923076923	1.1689086624292e-14
19230.7692307692	1.19466562299171e-14
21153.8461538462	1.06471693005285e-14
23076.9230769231	9.98685700295242e-15
25000	1.07321998098256e-14
26923.0769230769	1.17018455718941e-14
28846.1538461538	1.22433225310967e-14
30769.2307692308	1.05230476991545e-14
32692.3076923077	8.59552239716803e-15
34615.3846153846	8.84246092004049e-15
36538.4615384615	8.75077725502143e-15
38461.5384615385	8.58892621282905e-15
40384.6153846154	8.62738197586337e-15
42307.6923076923	9.13332228269094e-15
44230.7692307692	9.07941101710454e-15
46153.8461538462	9.27336521807859e-15
48076.9230769231	9.71138808084007e-15
50000	9.21535657863493e-15
51923.0769230769	8.62918572919503e-15
53846.1538461538	7.54458691383429e-15
55769.2307692308	7.21370510873362e-15
57692.3076923077	8.23663142033824e-15
59615.3846153846	1.04381522023694e-14
61538.4615384615	1.06384566943021e-14
63461.5384615385	1.86448305030754e-14
65384.6153846154	1.06813593051332e-13
67307.6923076923	1.52915251773208e-13
69230.7692307692	4.06878308193004e-14
71153.8461538462	9.17656883825655e-15
73076.9230769231	9.17266843830098e-15
75000	1.02596447382155e-14
76923.0769230769	1.05385505308028e-14
78846.1538461538	9.89593806797012e-15
80769.2307692308	8.81742480749235e-15
82692.3076923077	1.0052547213185e-14
84615.3846153846	1.11069172137865e-14
86538.4615384615	1.18062448098614e-14
88461.5384615385	1.5185196236031e-14
90384.6153846154	1.72182452742217e-14
92307.6923076923	1.33273303386755e-14
94230.7692307692	1.27267727881571e-14
96153.8461538462	2.05387627493197e-14
98076.9230769231	7.74626816811377e-14
100000	1.09558971771054e-13
101923.076923077	4.79783206274882e-14
103846.153846154	2.21272134734186e-14
105769.230769231	1.9739998048121e-14
107692.307692308	1.85811347812666e-14
109615.384615385	1.52642297672991e-14
111538.461538462	1.3528852263613e-14
113461.538461538	1.54468251950953e-14
115384.615384615	2.2835274162028e-14
117307.692307692	3.98171768008852e-14
119230.769230769	5.52876319894106e-14
121153.846153846	5.68704808510704e-14
123076.923076923	5.03884562564318e-14
125000	3.26268581509194e-14
126923.076923077	2.09552278507199e-14
128846.153846154	1.90971918660143e-14
130769.230769231	2.1539037198419e-14
132692.307692308	2.01205336095504e-14
134615.384615385	1.56707851989742e-14
136538.461538462	1.42059128218061e-14
138461.538461538	1.57383499000339e-14
140384.615384615	1.54434335740266e-14
142307.692307692	1.3518921479201e-14
144230.769230769	1.18015584053048e-14
146153.846153846	1.07071537797873e-14
148076.923076923	1.11603714222276e-14
150000	1.35829817020585e-14
151923.076923077	1.61880185553578e-14
153846.153846154	1.45359887618366e-14
155769.230769231	1.04425723662112e-14
157692.307692308	9.72716461379017e-15
159615.384615385	9.70403786759621e-15
161538.461538462	8.71066963207398e-15
163461.538461538	9.17542433415367e-15
165384.615384615	1.03811153564407e-14
167307.692307692	9.14211907150088e-15
169230.769230769	9.66821935075051e-15
171153.846153846	1.02704103861606e-14
173076.923076923	1.02350362329679e-14
175000	1.16173951916571e-14
176923.076923077	2.95045217086717e-14
178846.153846154	1.64650451402658e-13
180769.230769231	2.80490042601355e-13
182692.307692308	2.18225938819972e-13
184615.384615385	2.38626056078777e-13
186538.461538462	2.17396766756083e-13
188461.538461538	2.78830475226353e-13
190384.615384615	1.33106476327145e-13
192307.692307692	2.20321439859459e-14
194230.769230769	9.55425115995351e-15
196153.846153846	8.85136629343894e-15
198076.923076923	9.3079661626156e-15
200000	1.06637728885807e-14
201923.076923077	1.09893795562523e-14
203846.153846154	9.03057601296793e-15
205769.230769231	8.45485153702122e-15
207692.307692308	1.11059221520682e-14
209615.384615385	1.39921915093493e-14
211538.461538462	1.48076438517235e-14
213461.538461538	1.73162539953145e-14
215384.615384615	2.11633259966065e-14
217307.692307692	3.21705709914696e-14
219230.769230769	6.65918359202063e-14
221153.846153846	1.36797738216369e-13
223076.923076923	1.8142399714786e-13
225000	1.49089717327815e-13
226923.076923077	1.109866675094e-13
228846.153846154	1.13801913664465e-13
230769.230769231	1.55196937347636e-13
232692.307692308	2.01093672450452e-13
234615.384615385	2.5091668400385e-13
236538.461538462	2.08392218791514e-13
