==Info==
Type  	MyTrace           	
Name1 	Frequency         	
Name2 	Power             	
Unit1 	Hz                	
Unit2 	$\mathrm{V}^2/\mathrm{Hz}$ 	

==AcquiringInstrument==
Name 	RSA5103 	

==AcquisitionTime==
Year        	2019 	
Month       	11   	
Day         	8    	
Hour        	12   	
Minute      	4    	
Second      	36   	
Millisecond 	405  	

==RSA5103==
idn           	TEKTRONIX,RSA5103A,B010116, FV:3.5.0134  	
rbw           	1                	% Nominal resolution bandwidth (Hz)
rbw_act       	3029.1172        	% Actual resolution bandwidth (Hz)
auto_rbw      	0                	
span          	20000000         	% (Hz)
start_freq    	0                	% (Hz)
stop_freq     	20000000         	% (Hz)
cent_freq     	10000000         	% (Hz)
init_cont     	0                	% Continuous triggering on/off
point_no      	10401            	
ref_level     	-18              	% (dB)
disp_y_scale  	10               	% (dBm/div)
disp_y_offset 	-30              	% (dBm)
disp_trace1   	1                	% On/off
det_trace1    	average          	
func_trace1   	normal           	
average_no1   	1                	
cnt_trace1    	0                	% Count completed averages
disp_trace2   	1                	% On/off
det_trace2    	average          	
func_trace2   	average          	
average_no2   	100              	
cnt_trace2    	1                	% Count completed averages
disp_trace3   	0                	% On/off
det_trace3    	average          	
func_trace3   	average          	
average_no3   	10               	
cnt_trace3    	1                	% Count completed averages
acq_trace     	2                	% The number of last read trace

==Data==
0	2.34322813715744e-13
1923.07692307692	2.15541778524873e-13
3846.15384615385	1.84286723033057e-13
5769.23076923077	1.10389320852822e-13
7692.30769230769	7.49394249370359e-14
9615.38461538462	6.52521073374182e-14
11538.4615384615	7.88076852352196e-14
13461.5384615385	8.72900578214442e-14
15384.6153846154	7.77032378330649e-14
17307.6923076923	6.82851778682756e-14
19230.7692307692	6.81256991907578e-14
21153.8461538462	5.87909219356158e-14
23076.9230769231	5.21085874096419e-14
25000	6.0373757223444e-14
26923.0769230769	6.97740312795187e-14
28846.1538461538	7.41767429243544e-14
30769.2307692308	5.89907978037807e-14
32692.3076923077	4.6639439749469e-14
34615.3846153846	5.17884494750195e-14
36538.4615384615	5.1915793697544e-14
38461.5384615385	5.08714145989137e-14
40384.6153846154	5.19454428719614e-14
42307.6923076923	5.33886954174886e-14
44230.7692307692	5.23914815273577e-14
46153.8461538462	5.76061121198242e-14
48076.9230769231	6.14709407063558e-14
50000	5.66133059694959e-14
51923.0769230769	5.05159075860509e-14
53846.1538461538	4.30885163253164e-14
55769.2307692308	4.17287721868797e-14
57692.3076923077	5.01004448100259e-14
59615.3846153846	6.79922686399157e-14
61538.4615384615	6.77359478382456e-14
63461.5384615385	6.42858898885822e-14
65384.6153846154	1.46930854748898e-13
67307.6923076923	1.89933068399154e-13
69230.7692307692	8.16754126918579e-14
71153.8461538462	5.25835475556333e-14
