==Info==
Type  	MyTrace           	
Name1 	Frequency         	
Name2 	Power             	
Unit1 	Hz                	
Unit2 	$\mathrm{V}^2/\mathrm{Hz}$ 	

==AcquiringInstrument==
Name 	RSA5103 	

==AcquisitionTime==
Year        	2019 	
Month       	11   	
Day         	8    	
Hour        	11   	
Minute      	59   	
Second      	32   	
Millisecond 	9    	

==RSA5103==
idn           	TEKTRONIX,RSA5103A,B010116, FV:3.5.0134  	
rbw           	1                	% Nominal resolution bandwidth (Hz)
rbw_act       	3029.1172        	% Actual resolution bandwidth (Hz)
auto_rbw      	0                	
span          	20000000         	% (Hz)
start_freq    	0                	% (Hz)
stop_freq     	20000000         	% (Hz)
cent_freq     	10000000         	% (Hz)
init_cont     	0                	% Continuous triggering on/off
point_no      	10401            	
ref_level     	-18              	% (dB)
disp_y_scale  	10               	% (dBm/div)
disp_y_offset 	-30              	% (dBm)
disp_trace1   	1                	% On/off
det_trace1    	average          	
func_trace1   	normal           	
average_no1   	1                	
cnt_trace1    	0                	% Count completed averages
disp_trace2   	1                	% On/off
det_trace2    	average          	
func_trace2   	average          	
average_no2   	100              	
cnt_trace2    	1                	% Count completed averages
disp_trace3   	0                	% On/off
det_trace3    	average          	
func_trace3   	average          	
average_no3   	10               	
cnt_trace3    	1                	% Count completed averages
acq_trace     	2                	% The number of last read trace

==Data==
0	6.37681547094776e-13
1923.07692307692	5.86259060300116e-13
3846.15384615385	5.0555680081987e-13
5769.23076923077	2.97758037455593e-13
7692.30769230769	1.9840994855475e-13
9615.38461538462	1.74826243867274e-13
11538.4615384615	2.15228862865861e-13
13461.5384615385	2.39694893260537e-13
15384.6153846154	2.12639458832541e-13
17307.6923076923	1.85981164247504e-13
19230.7692307692	1.86338611447605e-13
21153.8461538462	1.62364925080794e-13
23076.9230769231	1.43512966696207e-13
25000	1.67030931836897e-13
26923.0769230769	1.91599973746573e-13
28846.1538461538	2.01592751738149e-13
30769.2307692308	1.5872737111428e-13
32692.3076923077	1.26270706603761e-13
34615.3846153846	1.40936078989441e-13
36538.4615384615	1.41581277704676e-13
38461.5384615385	1.40534570610823e-13
40384.6153846154	1.44232026329253e-13
42307.6923076923	1.4531622787067e-13
44230.7692307692	1.40706505377283e-13
46153.8461538462	1.56699318112556e-13
48076.9230769231	1.68226511138076e-13
50000	1.52041749606816e-13
51923.0769230769	1.34132021278613e-13
53846.1538461538	1.156195511286e-13
55769.2307692308	1.12452918733272e-13
57692.3076923077	1.34816393405467e-13
59615.3846153846	1.84372210893667e-13
61538.4615384615	1.85147291404068e-13
63461.5384615385	1.60945011115221e-13
65384.6153846154	2.35273573602434e-13
67307.6923076923	2.73191064352547e-13
69230.7692307692	1.67014500635029e-13
71153.8461538462	1.40515315155976e-13
73076.9230769231	1.55486750846213e-13
75000	1.77268184467857e-13
76923.0769230769	1.83125892497402e-13
78846.1538461538	1.68954788987424e-13
80769.2307692308	1.49040748046823e-13
82692.3076923077	1.75390415861726e-13
84615.3846153846	1.97342423549601e-13
86538.4615384615	2.12301291032127e-13
88461.5384615385	2.79730273459402e-13
90384.6153846154	3.18524483914784e-13
92307.6923076923	2.39773226924991e-13
94230.7692307692	2.2657774651353e-13
96153.8461538462	3.9262953858851e-13
98076.9230769231	1.6130335501646e-12
100000	2.30003009677822e-12
101923.076923077	9.66018902846341e-13
103846.153846154	4.07737661064603e-13
105769.230769231	3.70847253370183e-13
107692.307692308	3.56968689944737e-13
109615.384615385	2.86411415980579e-13
111538.461538462	2.50470117130146e-13
113461.538461538	2.90878633275245e-13
115384.615384615	4.39361274945411e-13
117307.692307692	7.75657637139154e-13
