==Info==
Type  	MyTrace           	
Name1 	Frequency         	
Name2 	Power             	
Unit1 	Hz                	
Unit2 	$\mathrm{V}^2/\mathrm{Hz}$ 	

==AcquiringInstrument==
Name 	RSA5103 	

==AcquisitionTime==
Year        	2019 	
Month       	11   	
Day         	8    	
Hour        	12   	
Minute      	12   	
Second      	58   	
Millisecond 	515  	

==RSA5103==
idn           	TEKTRONIX,RSA5103A,B010116, FV:3.5.0134  	
rbw           	1                	% Nominal resolution bandwidth (Hz)
rbw_act       	3029.1172        	% Actual resolution bandwidth (Hz)
auto_rbw      	0                	
span          	20000000         	% (Hz)
start_freq    	0                	% (Hz)
stop_freq     	20000000         	% (Hz)
cent_freq     	10000000         	% (Hz)
init_cont     	0                	% Continuous triggering on/off
point_no      	10401            	
ref_level     	-18              	% (dB)
disp_y_scale  	10               	% (dBm/div)
disp_y_offset 	-30              	% (dBm)
disp_trace1   	1                	% On/off
det_trace1    	average          	
func_trace1   	normal           	
average_no1   	1                	
cnt_trace1    	0                	% Count completed averages
disp_trace2   	1                	% On/off
det_trace2    	average          	
func_trace2   	average          	
average_no2   	100              	
cnt_trace2    	1                	% Count completed averages
disp_trace3   	0                	% On/off
det_trace3    	average          	
func_trace3   	average          	
average_no3   	10               	
cnt_trace3    	1                	% Count completed averages
acq_trace     	2                	% The number of last read trace

==Data==
0	3.47094321178108e-12
1923.07692307692	3.26791728585318e-12
3846.15384615385	2.27701394628539e-12
5769.23076923077	1.31504388169669e-12
7692.30769230769	1.81869786736988e-12
9615.38461538462	7.85201091168493e-12
11538.4615384615	1.02477561502666e-11
13461.5384615385	3.13392009828193e-12
15384.6153846154	9.87414452694531e-13
17307.6923076923	7.81547341627459e-13
19230.7692307692	7.70116657143806e-13
21153.8461538462	6.68460584133107e-13
23076.9230769231	6.04007026200291e-13
25000	7.07667701753664e-13
26923.0769230769	7.94669290574519e-13
28846.1538461538	8.3248146190917e-13
30769.2307692308	6.5226893493243e-13
32692.3076923077	5.13285152749446e-13
34615.3846153846	5.72837890467913e-13
36538.4615384615	5.8077694423909e-13
38461.5384615385	5.7924143075683e-13
40384.6153846154	5.94510478761482e-13
42307.6923076923	6.04769361660156e-13
44230.7692307692	5.88204674238574e-13
46153.8461538462	6.44298146531154e-13
48076.9230769231	6.86121261385306e-13
50000	6.24593340672628e-13
51923.0769230769	5.50877212804192e-13
53846.1538461538	4.6609543774396e-13
55769.2307692308	4.52894427650046e-13
57692.3076923077	5.4963892633013e-13
59615.3846153846	7.47391921589108e-13
61538.4615384615	7.47708413884239e-13
63461.5384615385	6.20256796332842e-13
65384.6153846154	6.55778954870775e-13
67307.6923076923	6.73505559487446e-13
69230.7692307692	5.82476134137622e-13
71153.8461538462	5.83928918529382e-13
73076.9230769231	6.51996276691775e-13
75000	7.20609292300613e-13
76923.0769230769	7.38760801280052e-13
78846.1538461538	6.9119873436721e-13
80769.2307692308	6.08383842900288e-13
82692.3076923077	7.12281209870492e-13
84615.3846153846	8.05589332937417e-13
86538.4615384615	8.67897511806419e-13
88461.5384615385	1.13941543119571e-12
90384.6153846154	1.28954279401155e-12
92307.6923076923	9.73745705000498e-13
94230.7692307692	9.33519865219061e-13
96153.8461538462	1.57123545500576e-12
98076.9230769231	6.35622523590636e-12
100000	9.15025721445376e-12
101923.076923077	3.88372228802828e-12
103846.153846154	1.63380662035375e-12
105769.230769231	1.47602200770526e-12
107692.307692308	1.4273955566293e-12
109615.384615385	1.16346124390089e-12
111538.461538462	1.02325193108462e-12
113461.538461538	1.16365542972785e-12
115384.615384615	1.78205515342649e-12
117307.692307692	3.23483482768806e-12
119230.769230769	4.51172023169614e-12
121153.846153846	4.64858230350786e-12
123076.923076923	4.10798321634145e-12
125000	2.60388752751554e-12
126923.076923077	1.66129028193104e-12
128846.153846154	1.53040485198787e-12
130769.230769231	1.75934463134071e-12
132692.307692308	1.60675787784832e-12
134615.384615385	1.19012427645115e-12
136538.461538462	1.06962121808735e-12
138461.538461538	1.18590015186519e-12
140384.615384615	1.13727368087764e-12
142307.692307692	9.83997964652942e-13
144230.769230769	8.63249106231729e-13
146153.846153846	7.82720737994285e-13
148076.923076923	8.27525413636789e-13
150000	1.02891373753806e-12
151923.076923077	1.25204269613628e-12
153846.153846154	1.12453906486383e-12
155769.230769231	7.98172628798937e-13
157692.307692308	7.56638111248172e-13
159615.384615385	7.84437281582616e-13
161538.461538462	7.52485131881838e-13
163461.538461538	8.69768764513794e-13
165384.615384615	1.24708167012282e-12
167307.692307692	3.68227181016129e-12
169230.769230769	1.74942528591541e-11
171153.846153846	2.48265966821944e-11
173076.923076923	8.61573487566143e-12
175000	1.79026363731463e-12
176923.076923077	1.4018714442652e-12
178846.153846154	2.70235480529535e-12
180769.230769231	3.22552287818316e-12
182692.307692308	2.32369523360015e-12
184615.384615385	2.47618059909856e-12
186538.461538462	2.21787783415994e-12
188461.538461538	3.1079434814423e-12
190384.615384615	2.27894681718091e-12
192307.692307692	1.2924729921434e-12
194230.769230769	2.07874845466818e-12
196153.846153846	1.09745051638653e-11
198076.923076923	2.58412855966937e-11
200000	1.45071746141779e-11
201923.076923077	2.91471993120351e-12
203846.153846154	1.05749179527332e-12
205769.230769231	7.9037560101918e-13
207692.307692308	9.41770598371156e-13
209615.384615385	1.14081143482992e-12
211538.461538462	1.18017864615679e-12
213461.538461538	1.36154962924295e-12
215384.615384615	1.63686907967614e-12
217307.692307692	2.5004542876801e-12
219230.769230769	5.34479095212055e-12
221153.846153846	1.14219510302853e-11
223076.923076923	1.5786156770573e-11
225000	1.31041551249369e-11
226923.076923077	9.53502736198728e-12
228846.153846154	9.48607449864725e-12
230769.230769231	1.24347428572787e-11
232692.307692308	1.57394835120898e-11
234615.384615385	2.02620256026975e-11
236538.461538462	1.76909022647461e-11
238461.538461538	8.71539933282761e-12
240384.615384615	3.67916811006017e-12
242307.692307692	2.02924465202291e-12
244230.769230769	1.32064178025632e-12
246153.846153846	1.02547795588458e-12
248076.923076923	9.29927116906037e-13
250000	9.34699730774087e-13
251923.076923077	1.27291205465789e-12
253846.153846154	2.1565540327081e-12
255769.230769231	2.8134774405476e-12
257692.307692308	3.34907398797429e-12
259615.384615385	3.83197230604386e-12
261538.461538462	3.40437683440321e-12
263461.538461538	2.79934775320162e-12
265384.615384615	2.40511491861444e-12
267307.692307692	2.16424318803794e-12
269230.769230769	2.03516734977855e-12
271153.846153846	1.77344808589869e-12
273076.923076923	1.3152495038796e-12
275000	9.6677098297741e-13
276923.076923077	5.96811547686975e-13
278846.153846154	4.09563251654803e-13
280769.230769231	4.11982831699401e-13
282692.307692308	5.38901847565806e-13
284615.384615385	1.26333498380094e-12
286538.461538462	2.79210352555975e-12
288461.538461538	2.04024695197707e-12
290384.615384615	7.92736758043595e-13
292307.692307692	7.81135559141218e-13
294230.769230769	1.22737083140674e-12
296153.846153846	1.12834836839434e-12
298076.923076923	8.69316608438648e-13
300000	9.90435575427396e-13
301923.076923077	9.50992633814448e-13
303846.153846154	7.88147461986962e-13
305769.230769231	6.84605425486572e-13
307692.307692308	5.64059263504442e-13
309615.384615385	5.757454682074e-13
311538.461538462	7.71767596344015e-13
313461.538461538	1.98765791643992e-12
315384.615384615	2.47137852451373e-12
317307.692307692	1.09459319802225e-12
319230.769230769	8.16815826463222e-13
321153.846153846	8.917040981766e-13
323076.923076923	1.03658259112486e-12
325000	1.45069579913186e-12
326923.076923077	1.90144059693452e-12
328846.153846154	1.77566145306233e-12
330769.230769231	1.25710958252864e-12
332692.307692308	9.79370985381173e-13
334615.384615385	9.21092188164417e-13
336538.461538462	9.61567678586736e-13
338461.538461538	8.64479862801393e-13
340384.615384615	7.4790021299164e-13
342307.692307692	5.90215842658157e-13
344230.769230769	4.80013359782063e-13
346153.846153846	5.82941901309084e-13
348076.923076923	6.94915803586062e-13
350000	6.49887607006853e-13
351923.076923077	7.4567129113795e-13
353846.153846154	9.3751839082846e-13
355769.230769231	8.20118513578835e-13
357692.307692308	8.22887938519973e-13
359615.384615385	9.24567964085628e-13
361538.461538462	1.04403161981473e-12
363461.538461538	1.40873948335707e-12
365384.615384615	2.01175647305372e-12
367307.692307692	3.08985332973618e-12
369230.769230769	8.35120234710581e-12
371153.846153846	1.76920521952224e-11
373076.923076923	1.08673473589123e-11
375000	3.06777529569813e-12
376923.076923077	2.07057357027459e-12
378846.153846154	2.37504817271087e-12
380769.230769231	3.15898153298144e-12
382692.307692308	1.38447531181617e-11
384615.384615385	7.03668535491216e-11
386538.461538462	8.73504200683241e-11
388461.538461538	2.5572517338241e-11
390384.615384615	1.00252648367069e-11
392307.692307692	7.95169223560406e-12
394230.769230769	3.60788574303885e-12
396153.846153846	2.15375993895785e-12
398076.923076923	2.16966400991591e-12
400000	2.4084466382236e-12
401923.076923077	2.00601114693082e-12
403846.153846154	1.7008673290859e-12
405769.230769231	2.08210717490533e-12
407692.307692308	3.06138490661455e-12
409615.384615385	4.49204365471572e-12
411538.461538462	4.33263226441967e-12
413461.538461538	3.03110670515566e-12
415384.615384615	2.36041519534064e-12
417307.692307692	2.80324528759048e-12
419230.769230769	3.8612658520592e-12
421153.846153846	4.97302281117008e-12
423076.923076923	5.71520118757432e-12
425000	4.30531812477501e-12
426923.076923077	2.79803011802898e-12
428846.153846154	1.76265788564978e-12
430769.230769231	1.42428206895362e-12
432692.307692308	1.61908910508692e-12
434615.384615385	2.28120991824489e-12
436538.461538462	3.79555267405864e-12
438461.538461538	4.69869772460261e-12
440384.615384615	3.8793650523448e-12
442307.692307692	2.88621171071501e-12
444230.769230769	2.70570373639385e-12
446153.846153846	3.48402870514409e-12
448076.923076923	4.28874112592064e-12
450000	5.28556476400142e-12
451923.076923077	4.46528528623702e-12
453846.153846154	2.29901614510208e-12
455769.230769231	1.23316947102386e-12
457692.307692308	9.02818081970408e-13
459615.384615385	3.96690928310696e-12
461538.461538462	1.16212939000727e-10
463461.538461538	4.8708718443885e-10
465384.615384615	3.13642332945844e-10
467307.692307692	2.89807772988674e-11
469230.769230769	8.85015351651681e-13
471153.846153846	6.60033312570222e-13
473076.923076923	7.79026523879267e-13
475000	8.55459334983249e-13
476923.076923077	8.68524375072422e-13
478846.153846154	6.94013012185661e-13
480769.230769231	6.93856972697148e-13
482692.307692308	7.78089636695766e-13
484615.384615385	7.43850074862302e-13
486538.461538462	8.29698698068388e-13
488461.538461538	1.05028616845257e-12
490384.615384615	1.17719279048044e-12
492307.692307692	1.08503791504688e-12
494230.769230769	1.12898086958187e-12
496153.846153846	1.24401614793285e-12
498076.923076923	1.9404767596279e-12
500000	4.84753784331097e-12
501923.076923077	9.62772845404012e-12
503846.153846154	7.17808840496562e-12
505769.230769231	8.04954863307206e-12
507692.307692308	1.05765250119279e-11
509615.384615385	1.40740126385177e-11
511538.461538462	1.3104143614691e-11
513461.538461538	3.91561887649599e-12
515384.615384615	1.22398386905389e-12
517307.692307692	8.34675093611731e-13
519230.769230769	7.77630495243776e-13
521153.846153846	7.79194872685068e-13
523076.923076923	6.03790604849684e-13
525000	5.24163376399256e-13
526923.076923077	5.26667510416141e-13
528846.153846154	5.70061152127593e-13
530769.230769231	7.58746513835067e-13
532692.307692308	1.09827212091618e-12
534615.384615385	1.3889211148226e-12
536538.461538462	1.39944776867575e-12
538461.538461538	1.49119316189142e-12
540384.615384615	1.80806110066032e-12
542307.692307692	1.64538550901204e-12
544230.769230769	1.46128498810667e-12
546153.846153846	1.84866809559862e-12
548076.923076923	2.06192727940137e-12
550000	1.55473640260996e-12
551923.076923077	2.01096145340907e-12
553846.153846154	2.30797942056559e-12
555769.230769231	1.6705587514306e-12
557692.307692308	3.48109821483749e-12
559615.384615385	4.02093361247805e-12
561538.461538462	1.42515556377763e-12
563461.538461538	6.25147694622773e-13
565384.615384615	7.176253886634e-13
567307.692307692	9.02968765524988e-13
569230.769230769	9.54250939304568e-13
571153.846153846	7.71312185452938e-13
573076.923076923	6.72122672895028e-13
575000	7.90708906216005e-13
576923.076923077	1.64468326667261e-12
578846.153846154	2.40383081751865e-12
580769.230769231	1.42828852466055e-12
