==Info==
Type  	MyTrace           	
Name1 	Frequency         	
Name2 	Power             	
Unit1 	Hz                	
Unit2 	$\mathrm{V}^2/\mathrm{Hz}$ 	

==AcquiringInstrument==
Name 	RSA5103 	

==AcquisitionTime==
Year        	2019 	
Month       	11   	
Day         	8    	
Hour        	13   	
Minute      	4    	
Second      	20   	
Millisecond 	646  	

==RSA5103==
idn           	TEKTRONIX,RSA5103A,B010116, FV:3.5.0134  	
rbw           	1                	% Nominal resolution bandwidth (Hz)
rbw_act       	302.91171        	% Actual resolution bandwidth (Hz)
auto_rbw      	0                	
span          	2000000          	% (Hz)
start_freq    	99000000         	% (Hz)
stop_freq     	1.01e+08         	% (Hz)
cent_freq     	1e+08            	% (Hz)
init_cont     	0                	% Continuous triggering on/off
point_no      	10401            	
ref_level     	-3               	% (dB)
disp_y_scale  	10               	% (dBm/div)
disp_y_offset 	-16              	% (dBm)
disp_trace1   	1                	% On/off
det_trace1    	average          	
func_trace1   	normal           	
average_no1   	1                	
cnt_trace1    	0                	% Count completed averages
disp_trace2   	1                	% On/off
det_trace2    	average          	
func_trace2   	average          	
average_no2   	100              	
cnt_trace2    	1                	% Count completed averages
disp_trace3   	0                	% On/off
det_trace3    	average          	
func_trace3   	average          	
average_no3   	10               	
cnt_trace3    	1                	% Count completed averages
acq_trace     	2                	% The number of last read trace

==HighFinesseWS6==
idn        	WS6, Version 3059, Software version 6403 	
frequency  	357.867004985                	% (THz)
wavelength 	837.720309009                	% (nm), in vacuum

==Data==
99000000	6.49758623174711e-16
99000192.3076923	6.5197223722128e-16
99000384.6153846	6.52635727124813e-16
99000576.9230769	6.57755365288715e-16
99000769.2307692	6.43683852659027e-16
99000961.5384615	6.21821301730716e-16
99001153.8461538	6.1586056851924e-16
99001346.1538462	6.2341930999286e-16
99001538.4615385	6.35663852647244e-16
99001730.7692308	6.4091263787835e-16
99001923.0769231	6.36207914189622e-16
99002115.3846154	6.24334457401275e-16
99002307.6923077	6.21004742584343e-16
99002500	6.30141373867178e-16
99002692.3076923	6.38095061127321e-16
99002884.6153846	6.41616719576561e-16
99003076.9230769	6.34356436380734e-16
99003269.2307692	6.57188259127447e-16
99003461.5384615	6.72056568244006e-16
99003653.8461538	6.50068030425952e-16
99003846.1538462	6.36279447647319e-16
99004038.4615385	6.452235529347e-16
99004230.7692308	6.58707030041224e-16
99004423.0769231	6.41621228189492e-16
99004615.3846154	6.3317850159177e-16
99004807.6923077	6.46396642070863e-16
99005000	6.45296100085874e-16
99005192.3076923	6.38912766394106e-16
99005384.6153846	6.37670357679623e-16
99005576.9230769	6.34673003493351e-16
99005769.2307692	6.50817611613556e-16
99005961.5384615	6.68727218403307e-16
99006153.8461538	6.2448692968058e-16
99006346.1538462	6.14168637416751e-16
99006538.4615385	6.25680569733464e-16
99006730.7692308	6.29386858662053e-16
99006923.0769231	6.37351175866653e-16
99007115.3846154	6.35227376123843e-16
99007307.6923077	6.27279680099195e-16
99007500	6.26699214378086e-16
99007692.3076923	6.10093074146318e-16
99007884.6153846	5.96421667976761e-16
99008076.9230769	6.15111266222326e-16
99008269.2307692	6.31382423346541e-16
99008461.5384615	6.45843867504201e-16
99008653.8461538	6.42075633370217e-16
99008846.1538462	6.241875049789e-16
99009038.4615385	6.1822798240873e-16
99009230.7692308	6.35931915154802e-16
99009423.0769231	6.41948187053268e-16
99009615.3846154	6.2739209038811e-16
99009807.6923077	6.40592958512605e-16
99010000	6.45767855436401e-16
99010192.3076923	6.38845425994245e-16
99010384.6153846	6.40076630692656e-16
99010576.9230769	6.42566481519799e-16
99010769.2307692	6.43360530615988e-16
99010961.5384615	6.42547291904588e-16
99011153.8461538	6.43180851894618e-16
99011346.1538462	6.31767422789902e-16
99011538.4615385	6.25256440217935e-16
99011730.7692308	6.31216069713515e-16
99011923.0769231	6.36698750661663e-16
99012115.3846154	6.34753285043651e-16
99012307.6923077	6.31892847914277e-16
99012500	6.28408001739038e-16
99012692.3076923	6.24677846742067e-16
99012884.6153846	6.30665197811374e-16
99013076.9230769	6.44304950708264e-16
99013269.2307692	6.34928378640429e-16
99013461.5384615	6.23010941183466e-16
99013653.8461538	6.22882902067577e-16
99013846.1538462	6.25832271333365e-16
99014038.4615385	6.17175399819879e-16
99014230.7692308	6.47487686282434e-16
99014423.0769231	6.28948062818335e-16
99014615.3846154	6.25297082658065e-16
99014807.6923077	6.26331607206952e-16
99015000	6.25346516213197e-16
99015192.3076923	6.36477324250297e-16
99015384.6153846	6.40645852183665e-16
99015576.9230769	6.33501158190948e-16
99015769.2307692	6.32281490840867e-16
99015961.5384615	6.21910882851397e-16
99016153.8461538	6.35125835074335e-16
99016346.1538462	6.50545560047913e-16
99016538.4615385	6.5528838750749e-16
99016730.7692308	6.54648651278657e-16
99016923.0769231	6.36103981467522e-16
99017115.3846154	6.20527094855834e-16
99017307.6923077	6.23093031382767e-16
99017500	6.23506930652316e-16
99017692.3076923	6.2121314699653e-16
99017884.6153846	6.38947561715149e-16
99018076.9230769	6.53015331206388e-16
99018269.2307692	6.47354616788112e-16
99018461.5384615	6.22717693898235e-16
99018653.8461538	6.24509968298441e-16
99018846.1538462	6.13729669724017e-16
99019038.4615385	6.16997614598035e-16
99019230.7692308	6.41114207886607e-16
99019423.0769231	6.41419498771125e-16
99019615.3846154	6.41892930584511e-16
99019807.6923077	6.48527023267199e-16
99020000	6.38707400362496e-16
99020192.3076923	6.34757745427525e-16
99020384.6153846	6.30169049228738e-16
99020576.9230769	6.30100416562607e-16
99020769.2307692	6.31007635050689e-16
99020961.5384615	6.30818107976941e-16
99021153.8461538	6.47410343418602e-16
99021346.1538462	6.58095170198046e-16
99021538.4615385	6.52028361353263e-16
99021730.7692308	6.56322951063594e-16
99021923.0769231	6.41639262958028e-16
99022115.3846154	6.26626556339227e-16
99022307.6923077	6.32615914930943e-16
99022500	6.36394588694378e-16
99022692.3076923	6.52262072937155e-16
99022884.6153846	6.69994825939951e-16
99023076.9230769	6.5322415018025e-16
99023269.2307692	6.62861596922585e-16
99023461.5384615	6.64083086443216e-16
99023653.8461538	6.46323971191704e-16
99023846.1538462	6.26615548280344e-16
99024038.4615385	6.11884484262956e-16
99024230.7692308	6.36824036074409e-16
99024423.0769231	6.43047537862601e-16
99024615.3846154	6.45631736779215e-16
99024807.6923077	6.44773716066643e-16
99025000	6.44449846585817e-16
99025192.3076923	6.44069564386517e-16
99025384.6153846	6.3879716974038e-16
99025576.9230769	6.42203104989149e-16
99025769.2307692	6.46400048718799e-16
99025961.5384615	6.48014545884407e-16
99026153.8461538	6.38762382609271e-16
99026346.1538462	6.19944165101443e-16
99026538.4615385	6.17630937060754e-16
99026730.7692308	6.29892350301033e-16
99026923.0769231	6.39668587729575e-16
99027115.3846154	6.38601937463185e-16
99027307.6923077	6.37483308951787e-16
99027500	6.60707340636677e-16
99027692.3076923	6.4310515324827e-16
99027884.6153846	6.18651691526305e-16
99028076.9230769	6.29396809722765e-16
99028269.2307692	6.26823633308334e-16
99028461.5384615	6.25645397803307e-16
99028653.8461538	6.4111082909603e-16
99028846.1538462	6.49173321859321e-16
99029038.4615385	6.51178998751656e-16
99029230.7692308	6.48683124620897e-16
99029423.0769231	6.5500296033587e-16
99029615.3846154	6.54754463775602e-16
99029807.6923077	6.56452097998049e-16
99030000	6.66304532001766e-16
99030192.3076923	6.6355715069378e-16
99030384.6153846	6.39670835187372e-16
99030576.9230769	6.16093221509837e-16
99030769.2307692	6.25543190603722e-16
99030961.5384615	6.47031724242269e-16
99031153.8461538	6.50387867952461e-16
99031346.1538462	6.52900623923244e-16
99031538.4615385	6.39839417028805e-16
99031730.7692308	6.27683128215949e-16
99031923.0769231	6.27147458485783e-16
99032115.3846154	6.31146214258434e-16
99032307.6923077	6.27469246359747e-16
99032500	6.43956428497732e-16
99032692.3076923	6.58491831137963e-16
99032884.6153846	6.63606111595568e-16
99033076.9230769	6.40973440031242e-16
99033269.2307692	6.23385360297555e-16
99033461.5384615	6.23207975833835e-16
99033653.8461538	6.41494999002393e-16
99033846.1538462	6.55318318526338e-16
99034038.4615385	6.47801702188993e-16
99034230.7692308	6.3255034943042e-16
99034423.0769231	6.22469417043585e-16
99034615.3846154	6.31822917561468e-16
99034807.6923077	6.22201564109073e-16
99035000	6.273160459297e-16
99035192.3076923	6.29154711904717e-16
99035384.6153846	6.3654553326922e-16
99035576.9230769	6.47031724242269e-16
99035769.2307692	6.36856480065231e-16
99035961.5384615	6.25395953676354e-16
99036153.8461538	6.25936724969263e-16
99036346.1538462	6.39209148491612e-16
99036538.4615385	6.35601320989376e-16
99036730.7692308	6.37939266340015e-16
99036923.0769231	6.39737138744894e-16
99037115.3846154	6.48286677871168e-16
99037307.6923077	6.6463512545548e-16
99037500	6.76655413860038e-16
99037692.3076923	6.6057735654816e-16
99037884.6153846	6.4562946837803e-16
