==Info==
Type  	MyTrace           	
Name1 	Frequency         	
Name2 	Power             	
Unit1 	Hz                	
Unit2 	$\mathrm{V}^2/\mathrm{Hz}$ 	

==AcquiringInstrument==
Name 	RSA5103 	

==AcquisitionTime==
Year        	2019 	
Month       	11   	
Day         	8    	
Hour        	11   	
Minute      	45   	
Second      	32   	
Millisecond 	60   	

==RSA5103==
idn           	TEKTRONIX,RSA5103A,B010116, FV:3.5.0134  	
rbw           	1                	% Nominal resolution bandwidth (Hz)
rbw_act       	3029.1172        	% Actual resolution bandwidth (Hz)
auto_rbw      	0                	
span          	20000000         	% (Hz)
start_freq    	0                	% (Hz)
stop_freq     	20000000         	% (Hz)
cent_freq     	10000000         	% (Hz)
init_cont     	0                	% Continuous triggering on/off
point_no      	10401            	
ref_level     	-18              	% (dB)
disp_y_scale  	10               	% (dBm/div)
disp_y_offset 	-30              	% (dBm)
disp_trace1   	1                	% On/off
det_trace1    	average          	
func_trace1   	normal           	
average_no1   	1                	
cnt_trace1    	0                	% Count completed averages
disp_trace2   	1                	% On/off
det_trace2    	average          	
func_trace2   	average          	
average_no2   	100              	
cnt_trace2    	1                	% Count completed averages
disp_trace3   	0                	% On/off
det_trace3    	average          	
func_trace3   	average          	
average_no3   	10               	
cnt_trace3    	1                	% Count completed averages
acq_trace     	2                	% The number of last read trace

==Data==
0	6.79527440813673e-15
1923.07692307692	6.68837642911781e-15
3846.15384615385	4.94481506124764e-15
5769.23076923077	2.89565281254528e-15
7692.30769230769	2.50151313578043e-15
9615.38461538462	2.76560582755552e-15
11538.4615384615	2.67551473475883e-15
13461.5384615385	2.48750769717782e-15
15384.6153846154	2.69777752636233e-15
17307.6923076923	2.58550443187442e-15
19230.7692307692	2.89653806650302e-15
21153.8461538462	2.61124887005027e-15
23076.9230769231	2.90632437403584e-15
25000	2.5742918060406e-15
26923.0769230769	2.21876635006818e-15
28846.1538461538	2.14796751221412e-15
30769.2307692308	2.46697577539421e-15
32692.3076923077	2.12129800256337e-15
34615.3846153846	1.63325851136735e-15
36538.4615384615	1.57349771958524e-15
38461.5384615385	1.55459711475478e-15
40384.6153846154	1.53906476420713e-15
42307.6923076923	1.96614359494486e-15
44230.7692307692	2.0822937262889e-15
46153.8461538462	1.56367408533501e-15
48076.9230769231	1.48702592775382e-15
50000	1.67044430104873e-15
51923.0769230769	1.82814427174006e-15
53846.1538461538	1.67264076828802e-15
55769.2307692308	1.42557873800469e-15
57692.3076923077	1.35269035443017e-15
59615.3846153846	1.34958570167569e-15
61538.4615384615	1.47763831643775e-15
63461.5384615385	1.12069537024279e-14
65384.6153846154	9.94096178342426e-14
67307.6923076923	1.45724229345766e-13
69230.7692307692	3.39011320993183e-14
71153.8461538462	2.19124858596794e-15
73076.9230769231	1.34658042917257e-15
75000	1.34989157749924e-15
76923.0769230769	1.36262640042805e-15
78846.1538461538	1.38147243139985e-15
80769.2307692308	1.37462141024669e-15
82692.3076923077	1.33342154095032e-15
84615.3846153846	1.31835159348336e-15
86538.4615384615	1.31156704324755e-15
88461.5384615385	1.29141082080901e-15
